"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Gpr137c",0.03,0,0,0,0,0
"Sgk1",0,0,0.08,0,0,0.33
"Pak7",0,0,0.31,0,0,0
"Stac",0,0.14,0,0,0.59,0
"Gramd1c",0.28,0,0,0,0.21,0
"Tmem176b",0,0,0.79,0,0,0
"Erc2",0.11,0,0.1,0,0.08,0.14
"Syn1",0,0,0,0,0,0.01
"Tango2",0.13,0,0,0,0,0.01
"March4",0,0.24,0,0.3,0,0
"Atp2b4",0,0,0,0.26,0.66,0
"Dok5",0,0.3,0,0.37,0,0
"Ccser1",0.23,0.16,0.2,0,0.12,0.1
"Sv2a",0,0,0.14,0,0,0
"Timd4",0,0.26,0.66,0,0,0
"Gldn",0.8,0.61,0,0,0.43,0
"Igsf1",0.2,0,0,0,0,0.32
"Smpdl3b",0,0,0,0.41,0,0.3
"Fbxo32",0,0,0,0.75,0.06,0
"Fam81a",0,0.16,0,0,0,0.41
"Arhgap17",0,0,0,0.03,0,0.31
"Ncoa7",0.04,0,0,0,0,0
"Prox1os",0,0,0.09,0.14,0,0.65
"Ddc",0,0,0,0.76,0,0.26
"Marveld2",0.07,0.24,0,0,0,0.27
"Sorcs3",0,0,0.31,0,0,0.26
"Fancd2",0,0.84,0,0.09,0,0
"St8sia5",0,0,0.5,0,0,0
"Naf1",0,0.34,0,0,0,0.07
"Eif4g3",0.16,0.05,0,0,0,0
"9530077C05Rik",0,0.04,0,0,0,0
"Efhb",0,0.31,0,0,0.3,0
"Sobp",0.02,0.08,0,0,0,0
"Vit",0.03,0,0,0,0,0.68
"Fam184b",0,0,0,0.19,0,0.36
"Tnfrsf21",0.02,0.09,0,0,0,0
"Mdga1",0.91,0,0,0,0,0
"Crlf3",0,0,0.08,0.17,0,0
"Stau2",0.11,0,0.1,0,0,0
"Neo1",0.2,0.11,0,0,0,0
"Mt1",0,0,0,0,0,0.03
"B930025P03Rik",0,0,0.62,0,0,0
"Lingo2",0.24,0.2,0,0.22,0.2,0.23
"Cntnap5c",0,0.08,0,0,0,0.24
"Epha10",0.42,0.07,0,0,0,0
"Mapt",0.2,0.13,0,0,0,0.12
"Sema4a",0.16,0.02,0,0,0,0.02
"Ky",0,0,0,0.78,0,0
"Zmynd8",0.21,0,0.09,0,0,0
"Hrh3",0,0,0.06,0,0.08,0.21
"Cd27",0,0,0,0,0,0.42
"Akap13",0,0.15,0,0,0.38,0.38
"Clip1",0.14,0,0,0,0,0
"Chpf2",0,0,0,0,0,0.01
"Robo1",0.62,0,0.44,0,0.49,0
"Map6",0,0,0,0.17,0,0
"C1qtnf12",0.05,0.1,0,0.01,0,0.21
"Tjap1",0,0.06,0,0,0,0.25
"Arhgap29",0.32,0,0,0.42,0.26,0
"Cdh18",0.22,0.28,0,0.34,0,0
"Fam90a1b",0.51,0.4,0,0,0,0
"Unc5a",0,0,0,0,0.03,0
"Cbln4",0,0.66,0,0.42,0,0
"Pappa",0.49,0,0.32,0,0,0.09
"Col6a2",0,0,0.68,0.41,0,0
"Mfsd10",0,0,0,0,0,0.13
"Cntfr",0.13,0,0.16,0,0,0
"Nab2",0,0,0,0.5,0,0.13
"Col8a1",0,0,0.16,0,0.49,0
"Tmem132a",0.41,0.05,0,0,0.21,0
"Hook2",0,0,0,0,0,0.2
"Atf7ip2",0,0,0.32,0.9,0,0
"Fbxo10",0,0,0,0,0,0
"Fbxl5",0,0,0,0,0,0.1
"Rc3h1",0,0,0,0.06,0,0
"Dnah6",0,0,0,0.24,0.12,0.4
"Gypa",0,0,0.04,0,0.25,0.51
"Setbp1",0,0,0.36,0,0,0
"Slitrk4",0.27,0.23,0,0,0,0
"Zfp521",0,0.1,0.4,0,0,0
"Coq8b",0.13,0.09,0,0,0,0.02
"Spop",0.16,0.01,0,0,0,0
"Il1rap",0.57,0.75,0,0,0,0
"Gabrq",0.47,0,0,0,0.15,0.1
"Fryl",0,0,0.73,0,0,0
"Col25a1",0,0.76,0,0,0.54,0
"Basp1",0.19,0,0,0.04,0.01,0
"Klhl2",0,0,0,0.31,0,0
"Tesc",0.21,0.38,0,0,0,0
"Sptlc3",0,0,0,0.39,0,0.37
"Rtp4",0,0,0,0,0.05,0.71
"Hs6st3",0.39,0.46,0,0,0,0.15
"Fxyd5",0,0,0,0.27,0,0.01
"Pcsk6",0,0,0.53,0,0,0.52
"Runx2",0,0.39,0,0,0,0.32
"Mpp7",0.48,0,0,0,0,0
"Arhgap23",0,0.02,0,0,0,0
"Mapk14",0,0,0,0.06,0,0.02
"Selenok",0,0,0.15,0,0,0
"Hrh1",0,0.05,0,0.06,0,0.47
"Mid2",0.25,0,0,0.26,0,0
"Tmem35a",0,0,0.03,0,0.35,0.13
"Atp6v1g1",0,0,0.14,0,0,0
"Kcnmb2",0,0,0.75,0.11,0,0
"Kcna2",0,0,0,0,0.04,0.1
"Syt9",0.06,0,0,0.3,0.46,0
"Tpd52l1",0,0,0.08,0,0,0.25
"Slc25a13",0,0,0.18,0.16,0,0.63
"Oprm1",0.32,0.58,0.2,0.06,0,0
"Ndst3",0,0.89,0,0,0,0
"Ptpn1",0.1,0,0,0.01,0,0
"Vmn1r42",0,0.75,0,0,0,0.03
"Hnrnpm",0,0,0,0,0,0.01
"Tekt2",0.62,0,0.4,0,0,0
"Iqce",0,0,0,0,0,0.09
"Tmem65",0,0,0,0.08,0,0.02
"Rbp1",0,0,0,0.58,0,0
"Plxna4",0,0,0,0.11,0,0
"Doc2g",0.33,0.16,0,0,0,0
"9430038I01Rik",0,0,0,0.26,0,0.33
"Cdh13",0.19,0,0,0.22,0.31,0.09
"Dlgap1",0,0.22,0.2,0.14,0.16,0.18
"Gstm6",0,0,0,0.13,0,0.41
"Magee1",0,0,0.16,0,0,0
"Gls2",0.01,0,0,0,0,0
"Gabra4",0,0.02,0,0,0,0.65
"Ankrd45",0,0,0,0,0,0.18
"Rcn1",0.44,0.01,0,0,0,0
"Vps13b",0.17,0,0,0,0,0
"Cplx2",0,0,0.63,0,0.07,0
"Tanc1",0,0,0,0.92,0,0
"Ano5",0,0,0,0.23,0.27,0
"Pura",0.08,0,0,0,0.06,0
"Fhit",0,0,0,0.04,0,0.13
"Pdlim5",0,0.86,0,0,0,0.16
"Adra2c",0,0,0.21,0,0,0.2
"4732496C06Rik",0,0,0,0.43,0.22,0
"Pde1a",0,0.5,0,0,0,0
"Vstm2l",0,0.04,0.18,0,0,0
"Rasgef1c",0.09,0,0,0,0,0.38
"1700074H08Rik",0.42,0,0,0,0.57,0
"Cabp7",0,0,0,0.71,0,0
"Nmt2",0.03,0,0,0.16,0,0
"Ssh3",0,0.07,0,0,0,0.09
"Adgrb3",0.24,0.22,0.19,0.24,0.02,0.22
"Arhgef4",0,0,0,0,0,0.13
"Sema3a",0,0.31,0,0,0,0.46
"Abcc1",0,0,0,0,0,0.24
"AW551984",0.54,0,0,0.12,0,0
"E2f3",0,0.05,0,0.36,0,0
"Kcnj5",0,0,0,0.69,0,0.35
"Eda",0,0.25,0,0,0,0
"Slc8a3",0.04,0.06,0,0,0,0
"Ophn1",0,0,0,0,0,0
"2810432F15Rik",0,0,0.05,0.72,0,0
"Gtdc1",0,0,0,0.18,0.05,0
"Col6a5",0.41,0,0,0.82,0,0
"4833420G17Rik",0,0,0,0.06,0,0
"Fsd1",0,0,0,0,0,0.04
"Rtn1",0,0,0.19,0,0.12,0.17
"Ppfia4",0.12,0,0,0,0,0.15
"Pdzd2",0,0.61,0,0,0.47,0
"Gnal",0,0,0,0.5,0,0
"Slc17a6",0,0,0.02,0.14,0.07,0
"Map2k2",0,0,0,0,0,0.13
"Nefm",0,0.07,0,0,0,0.43
"Galnt14",0,0,0,0,0.19,0.46
"Arhgap26",0.17,0,0.07,0,0.04,0
"Ube2e3",0.08,0,0,0,0.72,0
"Rap2b",0,0,0,0,0.08,0.03
"Zdhhc24",0,0.03,0,0,0,0.17
"Prdm11",0,0,0.16,0,0,0
"Letm2",0,0,0,0,0,0.06
"B230112J18Rik",0,0.72,0,0,0,0
"Mir9-3hg",0,0,0.24,0.38,0,0.01
"Unc5d",0,0.13,0,0.61,0,0
"Tmem59l",0,0,0.14,0,0,0
"Cnih3",0,0,0,0.61,0.45,0
"Fam241a",0,0.32,0,0.38,0,0
"Ano4",0,0,0.22,0.44,0,0
"Dapk1",0,0,0,0.01,0,0.22
"Arhgef10",0,0.06,0,0.05,0,0.11
"Pde8b",0,0,0.05,0.2,0,0.1
"BC035947",0.21,0.35,0,0,0,0
"Samd7",0.07,0.65,0,0,0,0.22
"Drc7",0.18,0.52,0,0,0,0
"Eps15",0,0,0,0.36,0,0.02
"Adra1b",0,0,0.85,0,0.08,0.03
"Naaladl2",0,0,0.25,0,0,0
"Ldha",0,0.11,0.04,0,0,0
"Sertm1",0,0,0.04,0,0.54,0.37
"Map7",0,0,0,0.04,0,0.1
"Rcor1",0,0,0,0.01,0,0.33
"Slc1a4",0,0,0,0,0,0.22
"Ptchd1",0,0,0.35,0,0,0.04
"Hspa8",0,0,0.13,0,0.09,0
"Kcnk10",0.42,0,0,0,0,0
"Fkbp5",0,0,0,0.47,0,0.03
"Six3",0,0,0.19,0.84,0,0
"Ikzf2",0,0.55,0,0,0,0
"Pls1",0,0.21,0,0,0,0.17
"Vill",0.6,0,0,0,0,0.36
"Chil5",0,0.37,0,0,0,0
"Spats2",0,0,0,0.18,0,0.02
"Adamts6",0,0,0,0.53,0,0.08
"Map3k4",0,0,0,0.36,0,0
"Drc3",0,0.03,0,0,0,0.15
"Wdsub1",0,0,0,0.42,0,0
"Esr1",0,0.92,0,0,0,0
"Pthlh",0,0,0.52,0.47,0,0
"Siae",0.06,0,0,0,0.47,0
"Jam2",0,0,0,0.93,0,0
"Fibin",0,0,0,0,0.88,0
"Mpped1",0,0.35,0.21,0.57,0,0
"Phf19",0.14,0,0,0.13,0.67,0
"Sp4",0.11,0,0,0,0,0
"Slc9a2",0,0,0,0,0,0.66
"Shisa3",0.05,0.14,0,0,0,0
"Sgsm2",0,0,0,0,0,0.04
"Rbm4b",0,0,0,0,0,0
"Ctsl",0,0,0.1,0,0,0
"Ldlrad4",0.01,0,0,0,0,0.01
"Kcnd2",0.24,0,0.14,0.19,0,0.18
"Chrna7",0,0,0,0.02,0,0.61
"Fads2",0,0,0.48,0,0,0.04
"Plpp3",0,0,0.06,0,0.25,0
"Ccdc148",0,0.02,0,0,0,0.07
"Dhx30",0,0,0,0,0,0
"Synj2",0,0,0.71,0.03,0,0
"Cadps",0,0,0.14,0.16,0,0.07
"Pde5a",0,0,0,0,0,0.73
"Hdc",0.33,0,0,0,0.38,0.1
"Inpp5k",0,0,0,0.15,0,0
"Tshz2",0.23,0,0,0,0.27,0.08
"Dnm3",0,0,0,0.01,0,0.14
"Lzts1",0,0.39,0,0.65,0,0
"4921511C10Rik",0,0.05,0,0,0,0.25
"Slc22a21",0,0,0,0,0.16,0.49
"Lnx2",0,0.21,0,0.56,0,0
"Akr1b10",0.18,0.01,0.25,0,0.37,0
"Grik3",0,0,0.62,0,0.69,0
"Zdhhc2",0,0,0,0,0,0.18
"Mgll",0.42,0.65,0,0,0,0
"Ptprk",0.21,0,0.81,0.6,0,0
"Saraf",0,0,0,0,0.02,0
"Mef2c",0,0,0.43,0,0,0.06
"Arhgap6",0.49,0,0,0,0,0.44
"Bmp6",0,0.41,0.44,0,0,0
"Pdyn",0.02,0,0.41,0,0,0.08
"Ehbp1",0,0,0.06,0.1,0,0
"Cntn3",0,0.02,0,0.11,0.23,0
"Rims4",0,0,0,0,0.1,0.21
"Stx1a",0,0,0,0,0.03,0.21
"Ackr1",0,0.22,0,0.1,0,0
"Wls",0,0,0,0.91,0.01,0
"Rfx3",0,0,0,0,0,0.31
"Olfm4",0,0,0.83,0,0,0
"Map3k14",0.04,0,0,0.12,0,0
"Oxr1",0,0,0.41,0,0.14,0
"Cd86",0,0.35,0,0,0.68,0
"Ly6h",0,0.1,0.22,0.15,0.06,0.16
"Apoe",0,0,0.12,0,0.08,0
"3300002A11Rik",0,0.48,0,0,0,0
"Itgad",0,0,0.14,0.09,0,0.65
"Cpne2",0.62,0.28,0.28,0,0,0
"Nek7",0,0,0,0,0,0.5
"Galnt13",0.21,0,0.02,0,0.23,0.07
"Akap12",0,0,0.08,0.03,0,0.17
"Lnpk",0,0,0,0,0,0.02
"Kir3dl2",0.15,0,0,0,0.06,0.16
"Zim1",0,0.03,0,0,0,0
"Srsf10",0.15,0,0,0,0,0
"Chn1",0,0,0,0,0,0.01
"C130073E24Rik",0,0,0.46,0,0.3,0
"Ndufc2",0,0,0.16,0,0,0
"Serping1",0.92,0,0,0,0,0
"Rock2",0,0,0,0,0,0
"Ltk",0,0.02,0,0.23,0.19,0
"Epc1",0,0.03,0,0,0,0
"Hacd1",0.06,0,0,0,0,0
"Podxl2",0.09,0,0.22,0,0,0
"Kcna4",0.56,0,0,0,0.31,0
"Ghr",0,0,0,0.42,0,0
"6330403K07Rik",0.11,0,0,0,0.15,0.07
"4930444P10Rik",0,0,0,0,0,0.52
"Disc1",0,0,0,0,0,0.44
"Nmnat3",0,0,0,0.92,0,0
"BC067074",0.51,0.14,0,0.11,0.03,0
"Fyb2",0,0.58,0,0,0,0
"Lgi3",0,0,0,0,0.01,0.3
"5031439G07Rik",0.12,0,0,0,0,0
"Adgrf5",0,0.75,0,0,0.24,0
"Fezf1",0,0,0,0,0.8,0
"Ldhb",0,0,0.11,0,0,0
"Brinp3",0.26,0.22,0,0.22,0.22,0.01
"Myo1d",0,0,0,0.04,0,0.24
"Tead1",0,0,0.53,0,0.44,0
"Adcy2",0,0.4,0.15,0,0.53,0
"Ngb",0.15,0.12,0,0,0,0
"Thsd4",0.8,0.14,0,0,0,0
"Rsu1",0.29,0,0,0.01,0,0
"Kcnip2",0,0.1,0,0,0,0.13
"Cfap54",0,0.34,0,0,0.04,0
"Jsrp1",0.75,0.12,0,0,0.3,0
"Glp2r",0,0.06,0,0.21,0.05,0
"Zfp46",0,0.01,0,0,0,0.28
"Gria4",0.24,0.07,0.22,0.17,0.12,0.15
"Cldn34c1",0.62,0.47,0,0,0,0
"Dnajc15",0,0,0,0,0,0.02
"Ctnnal1",0,0,0.05,0,0,0.06
"Ccdc15",0.33,0,0,0,0.17,0
"Ston2",0.37,0,0,0,0,0.09
"Mir124a-1hg",0,0,0,0.02,0,0.03
"Creb5",0,0,0.63,0,0,0
"Nek10",0,0,0,0.04,0,0.23
"Tmeff2",0.26,0.4,0,0.29,0.25,0
"Pgpep1l",0.45,0,0,0,0,0.38
"Idh1",0,0,0,0,0,0.4
"Xist",0.04,0.25,0,0,0,0
"Rin2",0.31,0,0.3,0,0,0
"Raver2",0,0.06,0,0,0,0.56
"Gabrb2",0.12,0,0,0.28,0,0
"Fstl4",0,0,0,0.53,0.22,0
"Icosl",0,0,0,0.8,0,0
"Grhl1",0.06,0,0,0,0,0.35
"Camkmt",0,0,0,0,0,0
"Hnf1b",0,0,0,0,0.25,0.52
"Zfp692",0,0,0,0,0,0.07
"Myh7",0,0.14,0.05,0,0,0.31
"Grip1os1",0,0.25,0,0,0,0.57
"Trpm3",0,0.47,0,0.57,0,0
"4930538E20Rik",0,0.62,0,0,0,0
"Ppargc1a",0,0.4,0,0,0,0.01
"Ptpru",0.74,0.37,0,0,0,0
"Sorl1",0.18,0.46,0,0,0,0
"Nup93",0,0,0,0.31,0,0.18
"Slit3",0,0,0.34,0,0.11,0.5
"Dpy19l2",0.33,0.17,0,0,0,0.31
"Zmym6",0,0,0,0,0,0.05
"Wasl",0,0,0,0.29,0,0
"R3hdm1",0,0,0,0.21,0.16,0.16
"Rab11fip1",0,0.01,0,0,0.32,0.58
"Col11a1",0.18,0,0.93,0.17,0,0
"Gas7",0,0.34,0,0.05,0,0
"Igsf9b",0,0,0,0,0,0.18
"Wnt7a",0,0,0,0.64,0,0
"Cdk14",0,0,0.15,0,0,0
"Parp1",0,0,0,0.27,0,0
"Phactr1",0,0.27,0,0,0.25,0.14
"Ocln",0.59,0.28,0,0,0.59,0
"Diaph2",0,0,0.13,0.02,0.13,0
"Homer1",0,0,0,0.16,0,0
"Krt18",0,0,0,0,0,0.74
"Celf6",0.14,0,0,0,0,0
"6820408C15Rik",0,0,0,0,0,0.28
"Lrguk",0,0.05,0,0,0.1,0.33
"Uggt2",0.09,0,0,0,0,0
"Shank1",0.06,0,0,0,0,0
"Nenf",0,0,0.08,0,0,0
"Galnt10",0,0.26,0,0.23,0,0
"Pgr15l",0.39,0.16,0,0,0.37,0
"Kank3",0,0.2,0,0,0,0.35
"Shc2",0,0.13,0,0,0,0
"Cntn5",0,0.19,0,0,0.46,0.03
"Abcc8",0,0.77,0,0,0,0
"Rgs7",0,0.05,0,0,0,0.1
"Sox14",0.46,0,0.58,0.06,0.33,0
"Spred2",0,0,0.37,0,0,0
"2700069I18Rik",0.69,0.34,0,0,0,0
"Slc26a8",0,0.26,0,0,0,0
"Ctnna2",0.24,0,0.12,0.23,0.22,0.21
"Sestd1",0.1,0.05,0,0,0.13,0
"Cacna1d",0.06,0,0,0,0,0.05
"Rbm39",0.19,0.1,0.15,0.19,0.14,0.21
"Pantr1",0,0.26,0,0,0,0.58
"Barx2",0,0,0,0,0.17,0.65
"Hacd4",0.27,0.01,0,0,0,0
"Brd1",0.29,0,0,0,0,0
"B130046B21Rik",0,0,0,0,0,0.46
"Scg3",0,0,0.16,0,0,0
"Bbs2",0.11,0.15,0,0,0,0
"Fam155a",0.09,0.11,0.23,0.16,0.17,0.21
"Exoc4",0.03,0.04,0,0.09,0,0.01
"Mmp23",0.41,0,0.33,0,0.03,0
"Prkce",0,0.11,0,0.03,0,0.02
"Htr1d",0.33,0.09,0,0.57,0.2,0
"Hcrtr1",0,0,0.08,0,0,0.56
"Nkain1",0.04,0,0,0,0,0.25
"Slc25a17",0,0,0.21,0,0,0
"Caly",0,0,0.2,0,0,0
"Ktn1",0.03,0,0,0.09,0,0
"2610037D02Rik",0.08,0,0,0.11,0,0
"Adamtsl3",0,0.79,0,0,0,0
"Itpk1",0.07,0,0,0,0,0.29
"Itga4",0,0.57,0,0,0.03,0
"Kcnk9",0.17,0.23,0,0,0.29,0
"Sptbn1",0.04,0.08,0,0.09,0,0.09
"5730522E02Rik",0,0.41,0,0,0,0
"Nyap2",0,0.64,0,0,0,0
"Cep126",0,0,0,0,0,0.03
"Adam12",0,0.83,0,0,0,0.16
"Gcnt2",0,0.08,0.07,0,0,0.6
"Hpcal1",0,0.09,0.12,0,0.09,0
"Hivep1",0.33,0,0,0,0,0
"Pcdh8",0,0,0.12,0.32,0,0
"B3galt1",0.19,0.12,0,0.2,0,0.01
"A230087F16Rik",0.06,0,0,0.2,0,0.36
"Sesn3",0,0,0,0.36,0,0
"Cntnap1",0.12,0,0,0,0,0.05
"Ydjc",0,0,0,0,0,0.03
"Cpeb1",0.09,0,0,0,0,0.04
"Gna14",0,0.53,0,0,0,0
"Tbc1d4",0,0,0,0,0,0.44
"Kirrel",0.24,0,0.12,0.8,0,0
"Pard3b",0,0.23,0.27,0,0,0
"Adgra3",0.25,0,0,0.16,0,0.18
"Add2",0,0,0,0.12,0,0
"Qrfpr",0,0.87,0,0,0,0.02
"Sh3gl3",0,0.04,0,0,0,0.27
"Parp6",0,0.12,0,0,0,0
"Tmem108",0.2,0.22,0,0,0.12,0.19
"Cask",0,0,0,0.09,0,0
"Brd9",0,0,0,0,0,0.05
"Slc7a14",0,0.31,0,0,0.16,0
"Frem1",0,0.85,0,0,0,0
"Ptger3",0,0,0,0.17,0,0.67
"Frrs1l",0,0,0.11,0,0,0
"Clca3a2",0.16,0.77,0,0.33,0,0
"Mest",0.1,0.14,0,0,0,0
"Zfhx3",0.73,0.42,0,0,0,0
"Prr33",0.77,0.41,0,0,0,0
"Zbtb7c",0,0,0,0,0,0.47
"Sfrp2",0,0,0.61,0,0.26,0
"Cbs",0,0.56,0,0,0,0
"Zdhhc15",0,0.28,0,0,0,0
"Maml3",0,0,0.12,0.72,0,0.06
"Ero1lb",0,0,0,0.05,0.07,0.03
"Rai14",0,0,0,0,0,0.74
"Arl2",0,0,0.1,0,0,0
"Airn",0.31,0.05,0,0,0,0
"Lrrtm3",0.06,0,0.08,0.11,0,0
"Fut9",0.07,0,0,0,0,0
"Foxo1",0,0,0,0.75,0,0.02
"Tjp2",0.55,0.01,0,0,0.18,0
"Rasa4",0.14,0,0.08,0,0,0.54
"Cald1",0,0,0.85,0,0,0
"Gulp1",0.01,0,0,0,0.15,0
"B3gat1",0,0,0.38,0,0,0.22
"Rell2",0,0,0,0,0,0.2
"Smyd3",0.16,0.08,0.03,0,0,0
"Ggact",0,0,0,0,0,0
"Slc16a9",0,0,0,0,0.19,0.4
"4930509J09Rik",0,0,0,0,0.04,0.71
"Auts2",0,0,0,0.72,0,0
"4932412D23Rik",0.13,0,0,0,0.45,0
"Nlrp6",0,0,0.72,0,0,0
"Crhr2",0,0,0.86,0,0,0.53
"Btg3",0.07,0.05,0,0,0.12,0
"Smarcd3",0,0,0,0,0,0.07
"Rev3l",0,0,0.18,0,0,0
"Satb1",0,0.5,0,0,0,0
"Rab3gap2",0.05,0,0,0,0,0
"Ank3",0.2,0.17,0,0.24,0.24,0.24
"A930016O22Rik",0.38,0.37,0,0,0,0.1
"Chn2",0,0,0.78,0,0,0
"Stac3",0.26,0.16,0,0,0,0.06
"Armc9",0.02,0.05,0,0,0,0
"H2-Q10",0.03,0.76,0,0,0,0
"Ptbp2",0.09,0,0,0,0,0
"Adamts17",0,0,0.3,0,0,0.3
"Npffr2",0.42,0,0,0,0.95,0
"Cacna1c",0,0,0,0.07,0.1,0.12
"Cadm2",0.22,0,0,0.45,0.13,0.02
"Nceh1",0,0,0.02,0,0,0
"Rims2",0.11,0.17,0,0.07,0,0.11
"Focad",0.35,0.19,0,0.02,0,0
"Plec",0,0,0,0,0,0.21
"Itsn1",0.29,0,0,0,0,0
"Far1",0,0,0,0.07,0,0
"Calm1",0,0,0.11,0,0.04,0
"Ptpn3",0,0,0,0,0,0.63
"4930517O19Rik",0,0,0.62,0,0.13,0
"Nxn",0,0.03,0,0.47,0,0
"Kctd8",0.03,0,0.02,0,0,0.23
"Tex50",0,0,0,0.01,0.03,0.25
"Rgcc",0,0,0.73,0,0.3,0
"Me3",0,0,0,0.22,0,0.28
"Tmem163",0.18,0.11,0,0,0.32,0
"Pamr1",0,0.66,0,0,0.45,0
"Fgf14",0.24,0.24,0.14,0.12,0.19,0.24
"Trank1",0.05,0,0,0,0,0
"Sms",0.07,0,0,0,0,0
"Stk32b",0,0.15,0.09,0.14,0,0
"Fam184a",0,0.01,0,0.51,0,0
"Ptpro",0,0,0,0.09,0,0
"Efcc1",0,0,0.07,0,0,0.3
"Sipa1",0.28,0,0,0,0,0.39
"Tac1",0,0.44,0,0.49,0,0
"Gucy1a1",0,0,0.15,0.05,0,0
"Pros1",0,0,0,0.65,0,0
"Glis2",0.01,0,0.12,0,0,0
"Kcnj3",0.04,0,0,0.48,0,0
"Larp1b",0.39,0,0,0,0.03,0
"Camta1",0.22,0.19,0,0,0.08,0.08
"Akain1",0,0,0.39,0.77,0,0
"Raph1",0,0.06,0,0,0,0
"Osbp2",0.14,0,0,0,0,0
"2010110G14Rik",0,0,0,0.79,0,0
"Stat3",0,0,0,0,0,0.34
"Nav3",0.23,0.19,0,0.22,0,0.16
"Sulf1",0.23,0.57,0,0.14,0.63,0
"Ifi27",0,0,0.75,0.44,0,0
"Mreg",0.65,0,0,0,0.05,0
"Bmper",0.55,0.54,0,0,0,0
"Nnat",0.05,0,0,0.18,0,0
"Fam3c",0,0,0.07,0,0.09,0
"Ppp1r9a",0.36,0.15,0,0,0,0
"Vstm5",0,0,0.13,0.08,0,0.16
"Ankrd11",0,0,0,0.04,0,0
"Ccdc88b",0,0,0,0,0.2,0.65
"Cacng3",0,0,0,0.66,0,0.17
"Ranbp17",0,0,0,0.21,0,0
"Jarid2",0,0,0,0,0,0
"E2f7",0,0.61,0,0,0.08,0
"Lmbrd1",0,0,0.19,0,0,0
"4931406P16Rik",0.03,0,0.03,0,0,0
"Wrnip1",0,0,0,0,0.17,0.04
"Sema4b",0.38,0,0,0,0,0
"Syt11",0.05,0,0.08,0,0.01,0
"Arsj",0,0.73,0,0,0,0
"Lrrk2",0,0.29,0,0.23,0,0
"A730090N16Rik",0,0.07,0,0,0.13,0.57
"Afap1",0,0,0.05,0,0,0.32
"Emp2",0,0,0.41,0.45,0,0
"Adarb2",0,0.81,0,0,0.13,0.06
"Ccni",0,0,0,0,0,0.15
"Robo3",0,0.86,0,0,0,0
"Teddm3",0,0,0.82,0,0.48,0
"Nsf",0,0,0,0.18,0,0
"Wnt5b",0.14,0.14,0,0,0,0
"Coro1a",0,0,0,0,0,0.52
"Rasal1",0,0,0,0,0,0.28
"1700023F02Rik",0,0.73,0,0,0,0
"Spata24",0,0.01,0,0,0,0.31
"Trpc5os",0,0.68,0,0,0.22,0
"Nxpe2",0,0.05,0,0,0,0.61
"Mc3r",0,0.51,0,0,0,0.35
"Slc9b2",0,0.04,0,0,0.06,0.61
"Baiap2",0,0,0,0,0,0.19
"Gpc6",0,0,0.65,0,0,0.51
"Grid1",0,0.12,0.1,0.37,0,0
"Ralgps1",0.14,0,0.04,0,0,0
"Rtl8a",0,0,0.22,0,0,0
"Apex2",0.09,0.09,0,0,0,0
"Mboat2",0,0.14,0,0,0.16,0
"Actr1b",0.02,0,0,0,0,0
"Srgap3",0.11,0,0.13,0,0.16,0
"Kif26b",0.22,0.23,0,0,0,0.18
"Camk4",0.23,0,0,0,0.01,0
"Stim2",0,0,0,0,0,0
"Akr1cl",0,0,0,0,0,0.71
"Lcp2",0,0,0.36,0.36,0,0
"Kctd4",0,0.41,0,0,0,0
"Cdh22",0.03,0,0,0,0.52,0
"Qsox2",0,0,0,0.26,0,0
"Lrp8os2",0.01,0,0,0,0,0.21
"Brinp1",0,0,0.39,0,0,0.13
"BC051537",0,0,0,0.69,0,0.06
"Cdca7l",0,0,0,0,0,0.63
"Itgb8",0,0,0,0.75,0,0
"Znrf1",0,0.06,0,0.02,0,0
"Sidt1",0,0.33,0,0,0,0
"9530036O11Rik",0,0,0,0,0,0.31
"Igfbp5",0,0.39,0,0,0,0
"Ttll5",0.19,0.04,0,0,0,0
"Pgrmc1",0,0,0.15,0,0.12,0
"4933413L06Rik",0,0,0,0.08,0,0.18
"Fam189b",0,0,0,0,0,0.06
"Ap1s3",0.32,0.43,0,0,0,0
"Syt4",0.1,0,0.05,0,0,0
"Sfmbt1",0.12,0.11,0,0,0,0
"Itm2c",0,0,0.07,0,0.06,0
"Dbn1",0,0,0,0,0,0
"Luc7l3",0,0,0,0.09,0,0
"Panct2",0.82,0.27,0,0.05,0,0
"Ssbp4",0,0,0,0,0,0
"Col9a1",0.45,0.55,0,0,0,0
"Ntm",0,0,0.64,0,0,0.04
"Exoc6",0,0.01,0,0,0,0.23
"Prdx5",0,0,0.06,0,0,0.13
"Lurap1l",0,0,0.48,0,0.03,0
"Ptprd",0.18,0.24,0.24,0.23,0.24,0.2
"Frmd6",0,0,0.22,0.64,0,0
"Hs2st1",0,0,0,0,0,0
"Arnt2",0.29,0,0,0,0,0
"Kcnk2",0.33,0,0,0,0.34,0.03
"Tmem132b",0,0,0,0.01,0,0
"Apod",0,0,0.33,0.03,0,0
"Efr3b",0.04,0.01,0,0,0,0
"Arhgdig",0,0,0,0,0,0.17
"Otof",0,0.61,0,0,0,0.42
"Fgf2",0,0.39,0,0,0.51,0
"Sec61a2",0,0,0,0,0,0
"Eml2",0.05,0,0,0,0,0.03
"Aplp2",0.03,0,0.11,0,0.07,0
"Myo5b",0,0.14,0,0.54,0,0
