"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Slc35f1",0,0.37,0,0.13,0.18,0
"4732463B04Rik",0,0.03,0.14,0,0,0.01
"Myo6",0,0,0,0,0,0.18
"Snx29",0,0,0.11,0,0,0
"Camk1g",0,0,0,0.12,0,0.48
"Garnl3",0.09,0,0.18,0.02,0,0
"Nol4l",0,0,0,0,0,0.12
"Ptprg",0.08,0.3,0,0.41,0,0
"Armcx3",0,0,0.13,0,0,0.25
"Grem2",0,0,0,0,0.48,0.2
"Rad51ap2",0.26,0.04,0,0.25,0,0
"Pls3",0,0,0,0,0.03,0.32
"Tmem132c",0.03,0.48,0,0,0.07,0
"Pde3a",0,0,0,0.95,0,0.19
"Cbln2",0.36,0.41,0,0,0.03,0
"Kazn",0,0.2,0,0,0.07,0
"Ank",0,0,0,0,0,0.03
"Atp1b2",0,0,0.14,0,0,0
"Lysmd4",0,0,0.15,0,0,0
