"Gene","Bead","Sup","Enrichment","P"
"Col6a3",9.11,3.86,1.23," 2.9e-06"
"Zfp239",91.22,38.79,1.23," 1.4e-23"
"Aard",17.42,7.53,1.23," 1.4e-09"
"Tekt5",42.31,18.15,1.23," 2.7e-14"
"Mmp17",110.92,47.23,1.22," 3.3e-21"
"Nkx2-2",22.08,9.43,1.22," 7.5e-10"
"Pde2a",3.86,1.62,1.22," 2.6e-03"
"Rps6ka4",68.41,29.61,1.22," 1.5e-14"
"Angptl6",5.76,2.51,1.22," 2.5e-04"
"Syngap1",354.86,153.1,1.22," 8.3e-28"
"Cxxc1",60.23,26.22,1.21," 9.5e-16"
"Fam189b",40.5,17.47,1.21," 1.1e-16"
"Pnmal1",598.06,258.17,1.21," 3.2e-35"
"Dusp2",2.07,0.9,1.21," 3.1e-02"
"Hrh3",85.91,37.21,1.21," 7.3e-20"
"Chst1",228.28,98.66,1.21," 3.9e-27"
"Krt9",1.87,0.8,1.21," 3.5e-02"
"Ephx1",12.9,5.57,1.21," 2.0e-07"
"Unc5a",91.27,39.53,1.21," 2.0e-19"
"Rnf112",228.85,99.47,1.21," 4.2e-24"
"Togaram2",23.76,10.31,1.2," 1.0e-10"
"P4ha3",11.25,4.86,1.2," 5.1e-07"
"Kcnu1",4.95,2.14,1.2," 9.4e-04"
"Gldn",11.1,4.78,1.19," 5.4e-06"
"Kdr",3.66,1.6,1.19," 3.1e-03"
"Myc",6.74,2.96,1.19," 5.8e-05"
"Kcnj5",32.44,14.13,1.19," 2.3e-12"
"Ankrd34a",129.96,57.46,1.19," 1.0e-16"
"Pde8b",174.08,76.68,1.19," 2.3e-28"
"Kbtbd11",288.88,127.11,1.18," 1.5e-28"
"Fstl4",42.92,18.78,1.18," 1.5e-15"
"Fam212b",23.03,10.17,1.18," 2.2e-11"
"Pcdhb1",2.58,1.12,1.18," 1.5e-02"
"Oprd1",19.35,8.46,1.18," 2.3e-09"
"Hspa1b",3.02,1.33,1.18," 7.5e-03"
"Tmem179",324.79,143.04,1.18," 2.2e-21"
"Slc25a22",333.17,148.79,1.17," 3.5e-20"
"Ube2ql1",333.48,147.99,1.17," 1.9e-22"
"Mindy4b-ps",3.9,1.78,1.17," 3.5e-03"
"Prmt8",48.79,21.77,1.17," 7.9e-18"
"Tmem9",97.21,42.95,1.17," 6.7e-19"
"Rgl1",266.11,118.71,1.17," 1.5e-28"
"Wipf3",53.14,23.76,1.16," 5.1e-19"
"Gm13420",1.78,0.8,1.16," 4.9e-02"
"Kcnk4",5.95,2.69,1.16," 6.6e-04"
"Ttc9b",48.69,22.29,1.16," 3.2e-11"
"3110082I17Rik",10,4.56,1.16," 9.3e-06"
"Ldb2",93.28,41.8,1.16," 3.2e-24"
"Cyb5r1",28.6,12.63,1.16," 1.9e-11"
"Prr12",243.8,109.23,1.16," 4.0e-15"
"Mkl2",584.9,262.08,1.16," 1.9e-34"
"Fancd2",3.45,1.56,1.15," 6.0e-03"
"Hap1",2310.19,1047.8,1.15," 3.3e-23"
"H2-Bl",2.96,1.32,1.15," 9.9e-03"
"Pcdhga9",8.56,3.89,1.15," 5.9e-05"
"Pnck",444.13,200.83,1.15," 2.0e-19"
"Pik3r2",115.03,52.12,1.15," 1.1e-14"
"Svop",260.98,117.27,1.15," 1.1e-24"
"Aplp1",1222.6,545.02,1.15," 3.6e-23"
"Cdhr2",10.47,4.77,1.15," 4.7e-06"
"Lingo3",37.88,17.01,1.15," 1.1e-13"
"Scn5a",74.77,33.6,1.15," 4.3e-19"
"Hs3st3b1",3.62,1.64,1.15," 5.7e-03"
"Sssca1",24.69,11.32,1.14," 5.3e-09"
"H1fx",23.07,10.62,1.14," 1.9e-07"
"Slit2",172.62,77.74,1.14," 1.1e-26"
"Klf5",23.18,10.5,1.14," 8.8e-11"
"Slc9a5",41.07,18.59,1.14," 7.0e-14"
"Rap2b",72.57,32.9,1.14," 2.9e-17"
"Pnma1",19.96,9.16,1.13," 7.9e-09"
"Jph4",499.84,228.64,1.13," 1.9e-18"
"Ppp3ca",999.8,455.45,1.13," 6.4e-34"
"Agap2",733.03,335.57,1.13," 7.3e-20"
"Grcc10",16.21,7.46,1.13," 2.4e-07"
"Sowaha",55.76,25.66,1.13," 3.8e-14"
"Fbxw7",218.08,99.43,1.13," 1.4e-27"
"Gm44210",4.99,2.32,1.13," 1.8e-03"
"Pnmal2",2116.5,971.5,1.13," 7.0e-22"
"Arhgap36",242.39,110.81,1.13," 6.4e-25"
"Pik3r5",4.93,2.26,1.13," 1.1e-03"
"Nr5a2",4.16,1.93,1.13," 2.5e-03"
"Matk",121.82,56.28,1.13," 3.2e-16"
"Adamts9",13.78,6.34,1.13," 1.4e-07"
"Homez",46.01,21.18,1.13," 3.3e-14"
"Zfp553",52.16,24.02,1.13," 3.0e-13"
"Ly6h",231.49,106.06,1.12," 6.8e-23"
"Pld3",536.3,244.61,1.12," 1.9e-25"
"Kcnj4",12.2,5.63,1.12," 3.0e-06"
"Lrrc73",52.69,24.55,1.12," 4.8e-12"
"Extl1",46.03,21.16,1.12," 7.4e-15"
"Sgsh",17.74,8.17,1.12," 3.8e-09"
"Map3k5",121.24,55.84,1.12," 5.4e-24"
"Pcdhgc5",27.99,12.8,1.12," 1.0e-11"
"March9",45.04,20.83,1.12," 1.4e-14"
"Plppr2",133.99,61.65,1.12," 1.2e-21"
"H2-T22",15.45,7.14,1.12," 4.5e-08"
"Spint2",61.02,28.02,1.11," 1.4e-15"
"Cacnb1",214.03,99.4,1.11," 2.3e-19"
"Cebpa",12.05,5.58,1.11," 1.8e-06"
"Zdhhc7",56.19,25.97,1.11," 8.0e-15"
"Hspa1a",4.04,1.88,1.11," 3.4e-03"
"Kcnk12",5.63,2.62,1.11," 1.7e-03"
"Pcdhga12",13.42,6.14,1.11," 6.3e-07"
"Prss36",6.3,2.94,1.11," 4.1e-04"
"Col20a1",2.6,1.19,1.11," 2.0e-02"
"Relt",28.02,12.89,1.11," 2.1e-10"
"Cfap61",11.14,5.19,1.11," 2.4e-06"
"Aprt",27.9,13.07,1.1," 3.4e-10"
"Rbfox3",228,106.79,1.1," 2.0e-19"
"Coch",15.8,7.21,1.1," 2.8e-07"
"BC051226",3.32,1.56,1.1," 9.8e-03"
"Sema6b",153.38,71.17,1.1," 2.2e-16"
"Celf3",165.72,77.82,1.1," 1.5e-21"
"Proser2",8.09,3.8,1.1," 1.2e-04"
"Rac3",74.71,35.08,1.1," 7.5e-14"
"Iqsec2",150.87,70.5,1.1," 2.1e-23"
"Hs3st5",24.97,11.71,1.1," 2.9e-10"
"Pifo",3.87,1.8,1.1," 4.6e-03"
"Rnaseh2c",17.37,8.22,1.1," 1.8e-06"
"Josd1",87.26,40.86,1.1," 4.2e-18"
"Plch2",55.18,25.81,1.09," 1.0e-14"
"Sf3b5",28.31,13.43,1.09," 2.2e-09"
"Cfap45",8.99,4.2,1.09," 3.1e-05"
"Tceal6",58.47,27.7,1.09," 2.5e-15"
"2310030G06Rik",3.87,1.79,1.08," 6.7e-03"
"Edaradd",2.49,1.18,1.08," 3.8e-02"
"Erc2",262.67,124.23,1.08," 3.8e-27"
"Plcz1",4.06,1.92,1.08," 9.4e-03"
"Frat1",44.15,20.95,1.08," 4.6e-10"
"Prkg1",43.62,20.66,1.08," 4.1e-15"
"Gtpbp3",44.7,21.41,1.08," 1.1e-10"
