"gene","Sample_111475","Sample_111476","Sample_116059","Sample_116060"
"AC158982.2",0,0,0,0
"Nalcn",125.308430018486,130.014571178093,149.517276350105,157.561062939352
"AC154677.1",0,0.135090099190538,0,0.146269089249306
"Itgbl1",16.5540002542831,18.9898082290699,25.0346478877197,32.4132301776461
"Gm9308",0.0184548497818095,0,0,0
"Gm25272",0,0.0192985855986483,0,0
"Fgf14",75.9786165517096,70.9608992462297,98.3430030127253,107.917334048138
"Gm28932",0,0.0385971711972965,0,0
"Gm15422",0.0369096995636189,0.0192985855986483,0,0.0877614535495834
"1700024B18Rik",0,0.0964929279932414,0,0.0877614535495834
"AC156574.2",0.0369096995636189,0.192985855986483,0,0.0585076356997222
"AC156574.1",0,0.482464639966207,0.138122195242592,0.380299632048195
"Olfr277-ps1",0,0.0385971711972965,0,0.0585076356997222
