"Gene","Bead","Sup","Enrichment","P"
"Tafa2",86.33,51.45,0.75," 1.7e-13"
"Mesd",91.26,54.51,0.75," 6.3e-14"
"Maged1",1724.48,1030.02,0.75," 8.2e-24"
"Ptprn",322.91,192.16,0.75," 2.5e-21"
"Stub1",152.74,90.98,0.75," 7.8e-18"
"Fsd1",81.15,48.36,0.75," 5.4e-14"
"Phyhip",489.54,291.39,0.75," 4.4e-22"
"Stk32a",64.77,38.61,0.75," 1.5e-12"
"Prox1",100.46,59.9,0.75," 3.0e-15"
"Ccn3",7.72,4.61,0.74," 3.1e-03"
"Irf1",11.37,6.76,0.74," 5.4e-04"
"Pdcd7",82.65,49.32,0.74," 4.9e-14"
"Prkar2b",246.62,146.56,0.74," 6.9e-18"
"Rhov",66.05,39.43,0.74," 1.4e-12"
"Shisa2",11.28,6.67,0.74," 5.1e-04"
"Gm1673",47.2,28.28,0.74," 2.3e-10"
"AA414768",25.28,15.11,0.74," 6.6e-07"
"C1ql2",19.54,11.37,0.74," 6.4e-05"
"1110008P14Rik",84.45,50.69,0.74," 5.5e-13"
"B230216N24Rik",20.43,12.2,0.74," 3.3e-06"
"Oaz1",64,38.34,0.74," 2.9e-12"
"Capsl",7.99,4.76,0.74," 4.3e-03"
"Cd3eap",41.3,24.63,0.74," 4.5e-09"
"Dctn3",178.55,107.18,0.74," 1.2e-17"
"Tceal6",125.91,75.74,0.74," 1.8e-14"
"Cdadc1",169.29,101.96,0.74," 8.0e-16"
"Cptp",62.77,37.71,0.74," 2.0e-11"
"Drc1",43.07,25.87,0.74," 8.4e-10"
"Vsig10l",8.76,5.29,0.73," 2.0e-03"
"Rem2",11.8,7.1,0.73," 5.4e-04"
"B2m",18.26,11.04,0.73," 3.4e-05"
"Taf6",38.46,23.05,0.73," 6.1e-09"
"Pfdn4",69.14,41.76,0.73," 3.3e-10"
"Togaram2",24.92,14.92,0.73," 1.5e-05"
"Klf16",68.66,41.32,0.73," 1.8e-12"
"Elob",148.91,89.82,0.73," 1.7e-16"
"Camkv",801.78,482.6,0.73," 3.1e-23"
"Zfp526",16.34,9.93,0.73," 6.1e-05"
"Tmem9",68.48,41.26,0.73," 2.0e-12"
"Gtf3a",17.68,10.64,0.73," 2.1e-05"
"Nfil3",22.48,13.56,0.73," 3.3e-06"
"Rab40b",34.54,20.87,0.73," 3.0e-08"
"Map3k6",3.9,2.34,0.73," 4.7e-02"
"Scamp3",28.39,17.15,0.73," 1.8e-07"
"Hrh1",20.69,12.47,0.73," 5.7e-06"
"Wnt5a",25.56,15.49,0.73," 1.6e-06"
"Usp27x",101.72,61.57,0.73," 3.5e-14"
"Pdcd5",15.43,9.3,0.73," 6.4e-05"
"Nme1",221,134.21,0.73," 1.2e-16"
"Scnn1a",7.87,4.76,0.73," 3.9e-03"
"Fndc9",46.6,28.04,0.73," 1.6e-09"
"Tceal9",450.02,272.02,0.73," 2.5e-21"
